Author,Recipient ,Date*,Date (MM/DD/YYYY),Location from,Location to,Keywords,Notes,Source
Thomas Jefferson,Stael,,07/16/1807,Washington D.C.,,"Paris, resistance, family","Extends invitation to Madame De Stael's son Auguste to come to the U.S., ""resistance becomes morality""",https://founders.archives.gov/documents/Jefferson/99-01-02-5977
John Payne Todd,James Madison,,10/09/1814,,,"Paris, newspaper","John Payne Todd sends James Madison some article found in the Paris journals which is rumored to have been written by Staël. Todd says that Staël ""requests [him] to make known to [James Madison] her high respect""",https://founders.archives.gov/documents/Madison/03-08-02-0258
George Ticknor,Thomas Jefferson,,10/14/1815,,,On Germany ,Ticknor talks about the impact of Staël's On Germany on the U.S understanding of German literature. ,https://founders.archives.gov/documents/Jefferson/03-09-02-0065
Stael,Thomas Jefferson,,11/10/1812,,,"Corinne, Napoleon, French revolution, French empire, England's resistance of Napoleon, United States involvement in Europe",Explaining situation in Europe and England's status as the last resistance to Napoleon's despotism,https://founders.archives.gov/documents/Jefferson/03-05-02-0383
John Speyer,Thomas Jefferson,,11/12/1812,Stockholm,,"letter, prisoner of war",Sending a letter written by Staël while she is in Sotckholm. ,https://founders.archives.gov/documents/Jefferson/03-05-02-0385
William Short,Thomas Jefferson,,11/17/1818,,,"Considerations on the Principal Events of the French Revolution, French, revolution","Short tells Jefferson about the books he recieved from France including Considerations on the Principal Events of the French Revolution. He says, about the text, ""It is certainly the best of all her works, & I think, the best work on the French revolution.""",https://founders.archives.gov/documents/Jefferson/03-13-02-0357
Thomas Jefferson,David Montague Erskine,,12/01/1807,,,Corinne,Sharing copies of Corinne,https://founders.archives.gov/?q=corinne&s=1111311111&sa=&r=1&sr=
David Montague Erskine,Thomas Jefferson,,12/02/1807,,,Corinne,Sharing copies of Corinne,https://founders.archives.gov/?q=corinne&s=1111311111&sa=&r=2&sr=
Thomas Jefferson,Le Ray de Chaumont,,12/03/1807,,,Corinne,Sharing copies of Corinne,https://founders.archives.gov/?q=corinne&s=1111311111&sa=&r=3&sr=
Abigal Adams,John Quincy Adams,,12/05/1785,,,"Baron de Staël, marriage","Announcing Baron de Staël is going to Jacques Necker's daughter, Germaine. ",https://founders.archives.gov/documents/Adams/04-06-02-0154
John Adams,Abigal Adams,,12/06/1795,,,"Reflections on Peace, Francis D'Ivernois",John tells Abigal that Staël has published Reflections on Peace which has been answered by Francis D'Invernois' Reflections on War. ,https://founders.archives.gov/
Thomas Jefferson,Joseph Milligan,,12/09/1818,,,Considerations on the Principal Events of the French Revolution,Jefferson sends a box of books to Milton to send to Milligan. This box includes Considerations on the Principal Events of the French Revolution. ,https://founders.archives.gov/documents/Jefferson/03-13-02-0423
William Short,Thomas Jefferson,,12/12/1818,,,"revolution, likely Considerations on the Principal Events of the French Revolution","Short asks Jefferson if he has seen Staël's latest work (perhaps Considerations on the Principal Events of the French Revolution). Short describes it as ""the most faithful picture of the great personages of the Revolution that I have seen."" ",https://founders.archives.gov/documents/Jefferson/03-13-02-0433
Thomas Jefferson,William Short,,12/21/1818,,,likely Considerations on the Principal Events of the French Revolution,"Jefferson responds to Short and confirms he has recieved a copy of (likely) Considerations on the Principal Events of the French Revolution from Staël's son and son in law. He says ""it is indeed a most precious & superlative work.”",https://founders.archives.gov/documents/Jefferson/03-13-02-0457
